	Frequency [Hz]	Amplitude [m]	Phase Angle [°]	
391	782,	3,511e-007	-140,79	
392	784,	3,4515e-007	-140,93	
393	786,	3,3933e-007	-141,08	
394	788,	3,3366e-007	-141,22	
395	790,	3,2811e-007	-141,37	
396	792,	3,227e-007	-141,51	
397	794,	3,1741e-007	-141,66	
398	796,	3,1224e-007	-141,81	
399	798,	3,072e-007	-141,96	
400	800,	3,0227e-007	-142,11	
401	802,	2,9745e-007	-142,26	
402	804,	2,9274e-007	-142,41	
403	806,	2,8814e-007	-142,57	
404	808,	2,8364e-007	-142,73	
405	810,	2,7925e-007	-142,88	
406	812,	2,7496e-007	-143,04	
407	814,	2,7076e-007	-143,21	
408	816,	2,6666e-007	-143,37	
409	818,	2,6265e-007	-143,54	
410	820,	2,5873e-007	-143,71	
411	822,	2,5489e-007	-143,88	
412	824,	2,5115e-007	-144,05	
413	826,	2,4749e-007	-144,23	
414	828,	2,4391e-007	-144,4	
415	830,	2,404e-007	-144,59	
416	832,	2,3698e-007	-144,77	
417	834,	2,3364e-007	-144,95	
418	836,	2,3036e-007	-145,14	
419	838,	2,2716e-007	-145,34	
420	840,	2,2403e-007	-145,53	
421	842,	2,2098e-007	-145,73	
422	844,	2,1798e-007	-145,93	
423	846,	2,1506e-007	-146,13	
424	848,	2,122e-007	-146,34	
425	850,	2,0941e-007	-146,55	
426	852,	2,0667e-007	-146,77	
427	854,	2,04e-007	-146,98	
428	856,	2,0139e-007	-147,2	
429	858,	1,9883e-007	-147,43	
430	860,	1,9633e-007	-147,66	
431	862,	1,9389e-007	-147,89	
432	864,	1,915e-007	-148,12	
433	866,	1,8917e-007	-148,36	
434	868,	1,8689e-007	-148,61	
435	870,	1,8466e-007	-148,85	
436	872,	1,8248e-007	-149,1	
437	874,	1,8036e-007	-149,36	
438	876,	1,7828e-007	-149,62	
439	878,	1,7624e-007	-149,88	
440	880,	1,7426e-007	-150,14	
441	882,	1,7232e-007	-150,42	
442	884,	1,7043e-007	-150,69	
443	886,	1,6858e-007	-150,97	
444	888,	1,6677e-007	-151,25	
445	890,	1,6501e-007	-151,54	
446	892,	1,6328e-007	-151,83	
447	894,	1,616e-007	-152,13	
448	896,	1,5996e-007	-152,42	
449	898,	1,5836e-007	-152,73	
450	900,	1,568e-007	-153,04	
451	902,	1,5528e-007	-153,35	
452	904,	1,538e-007	-153,66	
453	906,	1,5235e-007	-153,99	
454	908,	1,5094e-007	-154,31	
455	910,	1,4956e-007	-154,64	
456	912,	1,4823e-007	-154,97	
457	914,	1,4692e-007	-155,31	
458	916,	1,4565e-007	-155,65	
459	918,	1,4442e-007	-155,99	
460	920,	1,4321e-007	-156,34	
461	922,	1,4205e-007	-156,7	
462	924,	1,4091e-007	-157,05	
463	926,	1,398e-007	-157,41	
464	928,	1,3873e-007	-157,78	
465	930,	1,3769e-007	-158,15	
466	932,	1,3668e-007	-158,52	
467	934,	1,357e-007	-158,9	
468	936,	1,3475e-007	-159,27	
469	938,	1,3382e-007	-159,66	
470	940,	1,3293e-007	-160,04	
471	942,	1,3207e-007	-160,43	
472	944,	1,3123e-007	-160,83	
473	946,	1,3042e-007	-161,22	
